Generation,PopBest,PopAvg,BestOverall
0,15.51005,15.51005,15.51005
1,-262.4514,-262.4514,15.51005
2,-139.9318,-139.9318,15.51005
3,-918.0997,-918.0997,15.51005
4,-281.5726,-281.5726,15.51005
5,603.6312,603.6312,603.6312
6,165.3635,165.3635,603.6312
7,557.5068,557.5068,603.6312
8,-64.78683,-64.78683,603.6312
9,-122.0524,-122.0524,603.6312
10,19.66052,19.66052,603.6312
11,-111.6375,-111.6375,603.6312
12,649.9836,649.9836,649.9836
13,18.35849,18.35849,649.9836
14,45.05713,45.05713,649.9836
15,594.3591,594.3591,649.9836
16,-65.12256,-65.12256,649.9836
17,66.24028,66.24028,649.9836
18,193.5854,193.5854,649.9836
19,755.8915,755.8915,755.8915
20,-63.04192,-63.04192,755.8915
21,-70.42693,-70.42693,755.8915
22,198.3719,198.3719,755.8915
23,591.0992,591.0992,755.8915
24,-190.1617,-190.1617,755.8915
25,612.5783,612.5783,755.8915
26,60.92643,60.92643,755.8915
27,196.5413,196.5413,755.8915
28,-103.9076,-103.9076,755.8915
29,89.30231,89.30231,755.8915
30,224.9789,224.9789,755.8915
31,627.8978,627.8978,755.8915
32,-100.5472,-100.5472,755.8915
33,593.8919,593.8919,755.8915
34,-135.8779,-135.8779,755.8915
35,-71.20305,-71.20305,755.8915
36,125.1409,125.1409,755.8915
37,-103.473,-103.473,755.8915
38,1105.426,1105.426,1105.426
39,750.2924,750.2924,1105.426
40,38.22179,38.22179,1105.426
41,697.7726,697.7726,1105.426
42,602.3099,602.3099,1105.426
43,40.83545,40.83545,1105.426
44,547.2231,547.2231,1105.426
45,228.3324,228.3324,1105.426
46,43.02441,43.02441,1105.426
47,-62.74607,-62.74607,1105.426
48,54.12298,54.12298,1105.426
49,108.421,108.421,1105.426
50,-99.31078,-99.31078,1105.426
51,34.06738,34.06738,1105.426
52,-92.08842,-92.08842,1105.426
53,-4.232523,-4.232523,1105.426
54,450.4182,450.4182,1105.426
55,164.2863,164.2863,1105.426
56,92.18488,92.18488,1105.426
57,603.6711,603.6711,1105.426
58,470.2283,470.2283,1105.426
59,1884.239,1884.239,1884.239
60,-53.21696,-53.21696,1884.239
61,2208.655,2208.655,2208.655
62,308.8824,308.8824,2208.655
63,22.11948,22.11948,2208.655
64,2579.938,2579.938,2579.938
65,146,146,2579.938
66,732.0007,732.0007,2579.938
67,373.4589,373.4589,2579.938
68,79.52605,79.52605,2579.938
69,123.84,123.84,2579.938
70,142.9733,142.9733,2579.938
71,56.09396,56.09396,2579.938
72,136.0471,136.0471,2579.938
73,160.2447,160.2447,2579.938
74,111.7963,111.7963,2579.938
75,11.31736,11.31736,2579.938
76,33.53229,33.53229,2579.938
77,18.72964,18.72964,2579.938
78,-116.4409,-116.4409,2579.938
79,3.873918,3.873918,2579.938
80,68.77787,68.77787,2579.938
81,18911.6,18911.6,18911.6
82,1083058,1083058,1083058
83,34.28131,34.28131,1083058
84,-244.0636,-244.0636,1083058
85,76.38728,76.38728,1083058
86,351.3437,351.3437,1083058
87,74.7997,74.7997,1083058
88,-6.766362,-6.766362,1083058
89,1302.34,1302.34,1083058
90,638.4869,638.4869,1083058
91,27.80075,27.80075,1083058
92,1524.409,1524.409,1083058
93,47.7798,47.7798,1083058
94,75.55679,75.55679,1083058
95,34.36034,34.36034,1083058
96,956.7376,956.7376,1083058
97,152.8384,152.8384,1083058
98,101.1973,101.1973,1083058
99,153.4471,153.4471,1083058
100,-233.2351,-233.2351,1083058
101,-118.8629,-118.8629,1083058
102,-89.62125,-89.62125,1083058
103,-107.7397,-107.7397,1083058
104,107.2711,107.2711,1083058
105,46.70366,46.70366,1083058
106,19.91853,19.91853,1083058
107,-123.4662,-123.4662,1083058
108,61.56966,61.56966,1083058
109,-64.27988,-64.27988,1083058
110,-133.5256,-133.5256,1083058
111,40.03416,40.03416,1083058
112,-70.07581,-70.07581,1083058
113,242.4952,242.4952,1083058
114,-30.5479,-30.5479,1083058
115,244.6046,244.6046,1083058
116,18.75319,18.75319,1083058
117,4.592645,4.592645,1083058
118,-100.2248,-100.2248,1083058
119,36.34924,36.34924,1083058
120,149.8368,149.8368,1083058
121,-118.9672,-118.9672,1083058
122,163.5163,163.5163,1083058
123,27.13936,27.13936,1083058
124,17.35898,17.35898,1083058
125,44.60048,44.60048,1083058
126,95.48032,95.48032,1083058
127,-175.6861,-175.6861,1083058
128,71.37315,71.37315,1083058
129,899.3123,899.3123,1083058
130,408.4194,408.4194,1083058
131,86.83856,86.83856,1083058
132,373.5813,373.5813,1083058
133,255.4407,255.4407,1083058
134,-35.41768,-35.41768,1083058
135,-52.60175,-52.60175,1083058
136,-123.0435,-123.0435,1083058
137,40.36986,40.36986,1083058
138,-126.4628,-126.4628,1083058
139,102.1163,102.1163,1083058
140,158.5361,158.5361,1083058
141,27.77778,27.77778,1083058
142,34.61158,34.61158,1083058
143,15.69567,15.69567,1083058
144,108.496,108.496,1083058
145,49.4181,49.4181,1083058
146,38.32414,38.32414,1083058
147,28.05216,28.05216,1083058
148,87.14667,87.14667,1083058
149,122.3328,122.3328,1083058
150,-149.7021,-149.7021,1083058
151,116.7607,116.7607,1083058
152,66.65196,66.65196,1083058
153,44.69209,44.69209,1083058
154,-22.17303,-22.17303,1083058
155,-148.1718,-148.1718,1083058
156,658.3663,658.3663,1083058
157,1168.908,1168.908,1083058
158,78.13035,78.13035,1083058
159,98.86735,98.86735,1083058
160,102.4371,102.4371,1083058
161,48.18258,48.18258,1083058
162,14.56357,14.56357,1083058
163,131.1875,131.1875,1083058
164,175.9402,175.9402,1083058
165,-131.6794,-131.6794,1083058
166,42.40993,42.40993,1083058
167,308.7738,308.7738,1083058
168,71.31872,71.31872,1083058
169,125.0813,125.0813,1083058
170,-11.78085,-11.78085,1083058
171,191.1943,191.1943,1083058
172,130.2861,130.2861,1083058
173,-283.1552,-283.1552,1083058
174,38.00532,38.00532,1083058
175,-37.15324,-37.15324,1083058
176,90.17645,90.17645,1083058
177,28.56782,28.56782,1083058
178,60.86735,60.86735,1083058
179,82.39216,82.39216,1083058
180,57.56406,57.56406,1083058
